0,pickup_truck,213,34,255,50
0,car,194,78,273,122
0,car,155,27,183,35
0,articulated_truck,43,25,109,55
0,car,106,32,124,45
1,bus,205,155,568,314
1,bus,285,123,477,168
1,car,544,162,617,193
1,car,329,152,371,163
1,car,447,161,497,183
1,car,662,199,715,236
2,motorized_vehicle,334,362,603,479
3,car,480,99,511,120
3,car,257,199,369,280
4,bus,439,32,719,171
5,car,561,85,605,129
5,articulated_truck,132,3,712,254
6,car,22,135,136,204
7,car,471,175,708,386
8,pickup_truck,471,131,702,249
9,car,36,123,135,172
9,car,75,44,114,70
9,car,109,42,142,66
9,car,141,41,193,70
9,car,214,141,402,222
9,car,548,214,707,297
9,car,307,223,571,363
10,car,147,96,238,135
11,car,423,78,485,99
11,car,122,129,177,160
11,car,591,95,637,115
11,car,282,67,317,80
11,car,476,148,610,206
12,car,119,165,324,300
12,pickup_truck,404,144,467,174
12,car,150,71,196,87
12,car,632,361,713,427
12,car,80,110,213,176
12,car,615,238,653,260
12,car,545,295,661,365
12,car,198,81,247,98
13,car,25,318,187,436
13,car,613,132,638,157
13,car,597,162,639,205
14,car,12,44,27,58
14,bus,51,26,91,46
14,car,156,26,180,35
14,car,192,112,300,186
14,pickup_truck,213,36,255,51
15,articulated_truck,57,27,113,39
15,work_van,115,79,247,154
15,motorized_vehicle,138,28,172,36
15,car,187,45,242,77
15,motorized_vehicle,177,29,201,37
16,car,260,252,424,379
16,car,594,236,663,316
16,car,602,181,650,229
16,articulated_truck,420,81,499,128
16,car,604,143,643,182
16,car,504,136,535,165
17,car,501,197,716,425
18,car,72,76,205,159
18,car,8,43,62,76
19,bus,136,142,202,188
19,bus,230,127,493,275
19,car,503,171,603,204
19,motorized_vehicle,658,191,710,231
20,car,12,93,115,152
21,car,464,109,499,128
21,car,141,251,300,367
22,car,281,142,514,367
22,motorized_vehicle,158,13,224,67
23,pickup_truck,78,116,265,192
23,car,73,45,116,72
23,pickup_truck,410,250,706,404
23,car,544,217,708,281
24,car,123,103,270,168
25,pickup_truck,217,43,319,87
25,car,100,97,236,150
26,car,252,253,578,479
26,car,217,54,234,67
26,car,630,179,684,220
26,single_unit_truck,163,40,216,68
26,single_unit_truck,118,42,160,75
27,car,143,31,211,58
27,pickup_truck,221,111,584,309
28,car,37,140,142,187
29,car,37,116,127,196
29,car,43,56,102,92
30,car,398,111,606,259
30,car,403,337,676,477
31,car,147,63,226,99
31,car,12,48,27,56
31,car,214,28,247,42
31,car,146,30,177,39
31,car,79,44,112,59
31,articulated_truck,39,19,88,40
32,car,228,44,291,68
32,car,511,135,632,200
32,car,623,81,663,100
33,pickup_truck,209,48,318,96
34,car,91,126,160,168
35,car,194,1,244,38
35,single_unit_truck,432,173,711,336
36,car,3,92,106,150
36,car,169,49,275,97
37,pickup_truck,138,47,260,97
38,car,76,122,240,208
39,car,156,26,180,37
39,pickup_truck,212,34,253,52
39,pickup_truck,242,90,338,150
39,car,150,49,184,67
40,car,505,105,529,119
40,car,600,163,639,207
40,car,609,133,639,158
40,car,351,165,434,205
41,car,330,91,339,103
41,car,124,131,231,179
42,car,175,104,196,121
42,car,5,236,37,317
42,car,138,134,172,158
43,car,265,18,345,51
43,motorized_vehicle,375,43,431,84
43,car,457,60,528,106
43,work_van,291,22,357,56
43,car,156,69,216,101
43,car,673,93,707,119
43,bus,60,58,359,391
43,car,620,74,666,106
43,car,584,75,642,121
43,car,363,40,396,70
43,work_van,314,28,396,66
43,pickup_truck,612,77,663,121
43,car,516,58,559,81
43,car,529,49,578,77
43,car,527,84,594,128
43,car,555,78,632,129
44,car,348,242,540,377
44,car,179,140,228,177
45,car,397,96,460,120
45,car,354,262,514,443
46,car,84,41,191,91
46,car,43,104,161,161
47,car,240,65,310,112
47,motorized_vehicle,500,54,527,81
47,pedestrian,266,46,283,72
47,car,431,40,453,58
47,car,302,207,432,324
47,motorized_vehicle,418,21,445,41
47,car,357,55,409,93
48,pickup_truck,92,104,170,155
48,car,241,46,286,64
48,car,63,96,107,130
48,pickup_truck,475,78,620,144
48,car,48,102,67,124
48,car,226,27,259,42
48,car,164,48,197,65
49,car,22,51,89,86
49,car,0,44,23,63
49,motorized_vehicle,317,77,338,102
49,car,0,98,19,133
50,pickup_truck,561,187,649,228
50,pickup_truck,532,128,572,145
50,work_van,616,266,711,402
50,pickup_truck,561,163,628,190
50,pickup_truck,490,128,539,150
51,car,123,81,263,145
52,pickup_truck,132,240,296,343
52,car,601,162,641,201
52,car,325,236,448,323
52,car,613,134,640,159
53,motorized_vehicle,284,57,298,68
53,car,137,79,191,108
53,motorized_vehicle,94,160,201,227
54,pickup_truck,269,53,496,154
54,car,431,54,588,123
54,motorized_vehicle,3,71,58,122
55,pickup_truck,63,222,158,289
56,pickup_truck,1,296,260,461
56,car,280,134,331,153
57,car,190,49,246,68
57,work_van,209,63,315,123
58,articulated_truck,136,156,566,431
58,motorized_vehicle,222,150,436,225
59,car,152,132,191,161
59,pickup_truck,306,139,431,208
59,car,123,111,145,125
60,car,384,139,430,163
60,pickup_truck,138,61,181,81
60,car,530,202,577,223
60,pickup_truck,181,75,234,100
60,car,162,198,391,326
60,car,238,89,284,109
60,motorized_vehicle,698,272,717,292
60,car,436,167,491,192
60,car,87,53,120,67
61,car,558,220,715,362
62,pickup_truck,564,173,611,193
62,pickup_truck,554,179,611,209
62,car,453,270,613,402
62,pickup_truck,574,163,628,187
63,work_van,379,120,460,178
63,car,9,270,156,381
64,car,293,199,437,278
65,pickup_truck,229,123,273,164
65,car,431,107,456,126
66,pickup_truck,306,197,444,265
67,car,350,195,448,253
67,car,462,119,498,141
68,car,654,93,667,109
68,car,227,122,379,189
69,car,409,382,574,478
69,car,335,100,393,132
70,car,358,317,538,477
71,car,355,74,551,178
71,car,24,34,53,54
71,motorized_vehicle,1,45,27,73
72,articulated_truck,3,27,605,344
73,car,491,45,541,79
73,car,100,31,157,75
73,car,163,4,201,29
73,car,576,44,608,63
73,car,236,11,312,56
73,car,639,108,686,150
73,car,187,22,265,69
73,car,536,45,580,73
73,car,199,4,236,27
73,bicycle,84,376,237,470
74,car,559,194,695,317
74,car,385,45,411,64
75,pickup_truck,498,144,564,186
75,car,50,178,116,230
75,car,448,114,478,140
76,car,193,2,241,40
76,car,254,90,437,208
77,car,2,192,58,218
77,car,171,239,313,320
77,car,615,145,647,171
77,car,63,165,111,191
78,car,366,232,497,327
79,car,239,51,252,58
79,car,74,61,103,74
79,car,29,143,143,215
79,work_van,212,42,228,49
79,car,265,50,281,61
80,motorized_vehicle,553,2,577,11
80,car,4,208,42,243
80,car,451,14,486,31
80,work_van,136,182,319,290
81,car,262,86,317,116
81,car,41,145,133,195
82,car,379,89,430,111
82,car,433,103,487,126
82,car,499,119,550,147
